created_at,user_id,session_id,device_id,attempt_index,char_id,response_time,press_duration,retry_count,prev_accuracy,prev_mastery,hint_count,session_number,difficulty_level,time_since_last_practice,prev_confidence,current_streak,wrong_streak,prev_mistakes,teaching_action,confidence_state,expected_pattern,entered_pattern,is_correct,press_order,source,is_synthetic,spec_version,braille_map_verified
2026-07-31T04:28:02.134+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,15,8,318.100000023842,91.5500000119209,0,0.5,0.32921875,0,2,1,2.861,2,2,0,2,2,0,12,12,True,"[3,4]",web,False,1,True
2026-07-31T04:28:06.31+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,16,37,1000.80000007153,60.4749999940395,0,0,0,0,2,1,604800,1,1,0,0,2,0,23,23,True,"[1,2,3,5]",web,False,1,False
2026-07-31T04:28:10.059+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,17,1,899.299999952316,53.7333333094915,0,0,0,0,2,1,604800,1,1,0,0,2,0,28,28,True,"[4,5,3]",web,False,1,True
2026-07-31T04:28:19.162+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,18,41,5645.70000004768,65.7999999920527,0,0,0,0,2,1,604800,1,1,0,0,2,1,14,14,True,"[4,2,3]",web,False,1,False
2026-07-31T04:28:25.447+00:00,P03,da4ffe85-bff5-41b8-a392-134e217456a7,dev_ofsotz1n,19,40,1275.19999992847,110.059999966621,0,0,0,0,2,1,604800,1,1,0,0,2,0,47,47,True,"[1,2,3,6,4]",web,False,1,False
2026-07-31T04:35:09.961+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,0,9,3683.5,165.166666666667,0,0,0,0,3,1,604800,1,1,0,0,2,1,21,21,True,"[1,5,3]",web,False,1,True
2026-07-31T04:35:13.361+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,1,3,241,126.549999952316,0,0,0,0,3,1,604800,1,1,0,0,2,0,20,20,True,"[3,5]",web,False,1,True
2026-07-31T04:35:16.768+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,2,2,156.300000071526,138.150000035763,0,0,0,0,3,1,604800,1,1,0,0,2,0,10,10,True,"[2,4]",web,False,1,True
2026-07-31T04:35:19.468+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,3,0,632.299999952316,103.5,0,1,0.25,0,3,1,496.054,2,2,0,0,2,0,1,1,True,[1],web,False,1,True
2026-07-31T04:35:23.163+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,4,5,230.299999952316,71.5999999841054,0,0,0,0,3,1,604800,1,0,1,0,0,1,51,37,False,"[1,3,6]",web,False,1,True
2026-07-31T04:35:26.253+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,5,5,528.5,154.866666674614,1,0,0,0,3,1,3.089,1,0,2,1,0,1,51,22,False,"[3,2,5]",web,False,1,True
2026-07-31T04:35:29.606+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,6,5,741,73.6666666666667,2,0,0,0,3,1,3.354,1,0,3,2,2,2,51,37,False,"[1,3,6]",web,False,1,True
2026-07-31T04:35:34.643+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,7,8,1849.60000002384,73.1499999165535,0,0.6,0.4969140625,0,3,1,452.509,1,3,0,2,2,0,12,12,True,"[4,3]",web,False,1,True
2026-07-31T04:35:38.061+00:00,P03,93bacdbb-3c51-42e2-994d-fb83a81cf36d,dev_ofsotz1n,8,6,855.5,32.3999999761581,0,0,0,0,3,1,604800,1,0,1,0,0,1,23,16,False,[5],web,False,1,True
